request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"IDR 15656000 is safe to pay today before optional cuts. The recommended full payment keeps the 90-day balance at or above IDR 24768300 (projected low IDR 71693581.52). A material obligation is Residential rent payment: IDR 10374000 on 2025-08-03. Confirmed forecast income includes IDR 13981778.48 on 2025-08-08; pending credits are excluded. This preserves the user's stated priorities: retirement investment, emergency savings. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"ZAR 6670 is safe to pay today before optional cuts. The recommended full payment keeps the 90-day balance at or above ZAR 20500 (projected low ZAR 62945.55). A material obligation is Monthly rent: ZAR 8360 on 2026-08-04. Confirmed forecast income includes ZAR 6574.36 on 2026-07-12; pending credits are excluded. This preserves the user's stated priorities: education, emergency savings. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_28,289.23,affordable_later,wait,2024-07-15:1302.40,2024-07-15,none,"EUR 289.23 is safe to pay today before optional cuts. The recommended wait keeps the 90-day balance at or above EUR 1100 (projected low EUR 1188.48). A material obligation is Shared housing rent: EUR 358.6 on 2024-07-01. Confirmed forecast income includes EUR 2105.4 on 2024-06-15; pending credits are excluded. Waiting uses the confirmed EUR 1452 inflow on 2024-07-15 before the full payment. A single full payment first becomes safe on 2024-07-15. This preserves the user's stated priorities: emergency savings, housing. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_29,1855.41,not_affordable,not_recommended,none,,none,"Only ZAR 1855.41 is safe today; no eligible plan can finish ZAR 51524 by 2025-11-23 while preserving the minimum balance of ZAR 28300. Baseline 90-day low: ZAR 30155.42 on 2026-02-02. A material obligation is School fee payment: ZAR 5170 on 2025-11-08. This is a forecast, not a guarantee of future cash flow."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"USD 775.2 is safe to pay today before optional cuts. The recommended installments keeps the 90-day balance at or above USD 900 (projected low USD 3309.3). A material obligation is Landlord standing order: USD 396 on 2026-05-03. Confirmed forecast income includes USD 679.12 on 2026-04-08; pending credits are excluded. This exact provider offer has 3 payments, total cost USD 806.22, and fee USD 31.02; it is the highest-ranked safe eligible offer. This preserves the user's stated priorities: retirement investment, emergency savings. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_31,2700039.53,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"IDR 2700039.53 is safe to pay today before optional cuts. The recommended wait keeps the 90-day balance at or above IDR 16588900 (projected low IDR 19288939.54). A material obligation is Residential rent payment: IDR 6080000 on 2024-09-04. Confirmed forecast income includes IDR 19646950 on 2024-09-15; pending credits are excluded. Waiting uses the confirmed IDR 19646950 inflow on 2024-11-15 before the full payment. A single full payment first becomes safe on 2024-11-15. This preserves the user's stated priorities: education, emergency savings. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_32,13339.36,not_affordable,not_recommended,none,,none,"Only ZAR 13339.36 is safe today; no eligible plan can finish ZAR 40018 by 2025-04-15 while preserving the minimum balance of ZAR 35700. Baseline 90-day low: ZAR 49039.36 on 2025-02-12. A material obligation is Monthly rent: ZAR 15664 on 2025-03-01. This is a forecast, not a guarantee of future cash flow."
request_33,30731.19,not_affordable,not_recommended,none,,none,"Only INR 30731.19 is safe today; no eligible plan can finish INR 118000 by 2026-03-15 while preserving the minimum balance of INR 102100. Baseline 90-day low: INR 132831.19 on 2026-01-14. A material obligation is Apartment rent transfer: INR 41900 on 2026-02-02. This is a forecast, not a guarantee of future cash flow."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"INR 129400 is safe to pay today before optional cuts. The recommended full payment keeps the 90-day balance at or above INR 138500 (projected low INR 419209). A material obligation is Monthly rent: INR 51200 on 2025-01-03. Confirmed forecast income includes INR 80319.87 on 2024-12-08; pending credits are excluded. This preserves the user's stated priorities: retirement investment, emergency savings. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_35,22868.81,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"INR 22868.81 is safe to pay today before optional cuts. The recommended wait keeps the 90-day balance at or above INR 106400 (projected low INR 129268.81). A material obligation is Shared housing rent: INR 37000 on 2025-11-04. Confirmed forecast income includes INR 160725 on 2025-11-15; pending credits are excluded. Waiting uses the confirmed INR 155057.45 inflow on 2026-01-15 before the full payment. A single full payment first becomes safe on 2026-01-15. This preserves the user's stated priorities: education, debt repayment. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_36,588.7,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"USD 588.7 is safe to pay today before optional cuts. The recommended wait keeps the 90-day balance at or above USD 2400 (projected low USD 2988.71). A material obligation is Home association fee: USD 260 on 2026-08-02. Confirmed forecast income includes USD 2841.31 on 2026-07-15; pending credits are excluded. Waiting uses the confirmed USD 2988 inflow on 2026-09-15 before the full payment. A single full payment first becomes safe on 2026-09-15. This preserves the user's stated priorities: healthcare, retirement investment. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_37,4367687.15,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,"IDR 4367687.15 is safe to pay today before optional cuts. The recommended wait keeps the 90-day balance at or above IDR 17056200 (projected low IDR 21423887.16). A material obligation is Monthly rent: IDR 6802000 on 2024-04-02. Confirmed forecast income includes IDR 30580500 on 2024-03-15; pending credits are excluded. Waiting uses the confirmed IDR 21090000 inflow on 2024-05-15 before the full payment. A single full payment first becomes safe on 2024-05-15. This preserves the user's stated priorities: emergency savings, housing. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_38,171.65,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,"EUR 171.65 is safe to pay today before optional cuts. The recommended wait keeps the 90-day balance at or above EUR 400 (projected low EUR 571.65). A material obligation is Property maintenance contribution: EUR 68 on 2025-09-04. Confirmed forecast income includes EUR 725.91 on 2025-08-15; pending credits are excluded. Waiting uses the confirmed EUR 725.91 inflow on 2025-10-15 before the full payment. A single full payment first becomes safe on 2025-10-15. This preserves the user's stated priorities: education, family support. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_39,57446.06,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"INR 57446.06 is safe to pay today before optional cuts. The recommended wait keeps the 90-day balance at or above INR 213400 (projected low INR 270846.07). A material obligation is Residential rent payment: INR 78000 on 2026-04-04. Confirmed forecast income includes INR 239938.96 on 2026-04-15; pending credits are excluded. Waiting uses the confirmed INR 253989.84 inflow on 2026-06-15 before the full payment. A single full payment first becomes safe on 2026-06-15. This preserves the user's stated priorities: emergency savings, travel. The recommendation is safe under the stated 90-day forecast, not guaranteed."
