image_id,amount,currency,selected_label,image_sha256,extraction_method,review_status,confidence
image_01,4365000,IDR,net_pay,f37b40e6af42c664846057252cac89ad41b7d029dfe8dacff2db8cceb79fa5ba,reviewed_ocr,verified,high
image_02,100000,INR,balance_due_from_total_less_amount_received,ccd779e5382b1bcfacfb47d4ccf346ffd667a34c8b94d0cfd48aa4a609bd117d,reviewed_ocr,verified,high
image_03,41272,INR,cash_paid,e5fb0bbcda6cc06f8ea95e32e45d4c76acd8c594f4b02ff0d78e6006e103ee4d,reviewed_ocr,verified,high
image_04,2854,INR,item_bill_and_line_item_sum,281e7f1e7bd1f98fbd53cde1381977373e610e6634b11c98098000001ff10f0c,reviewed_ocr,verified,high
image_05,704.05,INR,current_amount_due,9abcda5647afb3dcdf91613253ac0160bd722333af33a4b952dfc96fea6ff97b,reviewed_ocr,verified,high
image_06,1995,INR,amount_in_words,9055551fbe5940feb01b947e1f18ccfed093192d103b1e930a56df0ea7cd3cb4,reviewed_ocr,verified,high
image_07,8528,INR,grand_total,f6d30a74355224c0b5cda2d7f96399a7b1a0afe4f9fe59ea048bbecb1a21311e,reviewed_ocr,verified,high
image_08,15339,INR,total_amount_received,e28592ad8b4dacd03055e0b1ebc46670c83fbfa1162af07bdef33bb226bf63c8,reviewed_ocr,verified,high
image_09,723,INR,total_amount_received,e0e74e14425d923ff8a5c6db26ec6f4f26ee4697bfd257e414ba05c947a75ba8,reviewed_ocr,verified,high
image_10,279679.26,INR,balance_due,c90f98caf0877083e471fd47dace772f83d4782037cf112e97c63f79a10ea8cf,reviewed_ocr,verified,high
image_11,3650,INR,amount_payable,795e000d48428c97748e8af370cb02b604bec88cc52ec8930f38dc744624e886,reviewed_ocr,verified,high
image_12,33.50,USD,total,e10b0123e66d512d82f6c431fb741053b336627b89b9d9a138071ac6980a14ff,reviewed_ocr,verified,high
image_13,2298,INR,total_paid,1ae54b378a9556d94b753093ba80e7117caf86fab4d3fe11ec84e3dd2f6d6dd8,reviewed_ocr,verified,high
image_14,4543,INR,item_sum_and_total,bf88e4aa35e6f36304cbf76bf6f505f32b04466bfd5f7df693fcb3ebe8a3e2c1,reviewed_ocr,verified,high
image_15,9968,INR,grand_total,0c0fe3d79e670f2b423bbb2aafc0b5601d3eb4e659ac64058cd189abf7792ee1,reviewed_ocr,verified,high
image_16,393.22,INR,total,2665cf731a861ddb217be5b8082fbd390850a7a98feec018519b6fda0b30b4f8,reviewed_ocr,verified,high
